"#","Period","Issued to","Status","Issue date","Due date","Amount","Actions"
"#0013","November 2017","Liam 												Payment method: Wire transfer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","February 25, 2018","Paid on Feb 15, 2018","$985 VAT $124","Download 														 Print 														 														 Edit 														 Remove"
"#0014","December 2017","Elijah 												Payment method: Paypal","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","March 2, 2018","On hold","$985 VAT $458","Download 														 Print 														 														 Edit 														 Remove"
"#0015","December 2017","Matthew 												Payment method: Payoneer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","March 23, 2018","6 days","$369 VAT $85","Download 														 Print 														 														 Edit 														 Remove"
"#0016","December 2017","Anthony 												Payment method: Paypal","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","March 7, 2018","15 days","$985 VAT $365","Download 														 Print 														 														 Edit 														 Remove"
"#0017","December 2017","Daniel 												Payment method: Wire transfer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","May 6, 2018","2 days","$687 VAT $845","Download 														 Print 														 														 Edit 														 Remove"
"#0018","January 2018","Aiden 												Payment method: Skrill","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","June 17, 2018","On hold","$358 VAT $652","Download 														 Print 														 														 Edit 														 Remove"
"#0019","January 2018","Alexander 												Payment method: Paypal","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","December 26, 2017","Paid on Feb 25, 2018","$958 VAT $652","Download 														 Print 														 														 Edit 														 Remove"
"#0020","January 2018","Ethan 												Payment method: Wire transfer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","January 10, 2018","On hold","$985 VAT $548","Download 														 Print 														 														 Edit 														 Remove"
"#0021","January 2018","Noah 												Payment method: Paypal","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","January 10, 2018","- 3 days","$845 VAT $98","Download 														 Print 														 														 Edit 														 Remove"
"#0022","January 2018","Jayden 												Payment method: Paypal","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","January 15, 2018","12 days","$458 VAT $985","Download 														 Print 														 														 Edit 														 Remove"
"#0023","February 2018","William 												Payment method: Payoneer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","April 17, 2018","27 days","$12,854 VAT $7,845","Download 														 Print 														 														 Edit 														 Remove"
"#0024","February 2018","Mason 												Payment method: Wire transfer","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","April 17, 2018","5 days","$8,854 VAT $4,785","Download 														 Print 														 														 Edit 														 Remove"
"#0025","February 2018","Jacob 												Payment method: Skrill","Overdue 												On hold 												Pending 												Paid 												Invalid 												Canceled","April 18, 2018","Paid on Mar 16, 2018","$36,890 VAT $4,859","Download 														 Print 														 														 Edit 														 Remove"
